Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
ES/SP_08187012_30_M,20,2013-01-01,2013-01-02,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,80aff07c-f7a9-4d2a-9fc5-aeb3b71b124a
ES/SP_08187012_30_M,20,2013-01-02,2013-01-03,1.7000000000000002,ug.m-3,day,1,1,2023-01-10 10:57:00,,80aff07c-f7a9-4d2a-9fc5-aeb3b71b124a
ES/SP_08187012_30_M,20,2013-01-03,2013-01-04,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,80aff07c-f7a9-4d2a-9fc5-aeb3b71b124a
ES/SP_08187012_30_M,20,2013-01-04,2013-01-05,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,80aff07c-f7a9-4d2a-9fc5-aeb3b71b124a
ES/SP_08187012_30_M,20,2013-01-05,2013-01-06,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,80aff07c-f7a9-4d2a-9fc5-aeb3b71b124a
ES/SP_08187012_30_M,20,2013-01-06,2013-01-07,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,80aff07c-f7a9-4d2a-9fc5-aeb3b71b124a
ES/SP_08187012_30_M,20,2013-01-07,2013-01-08,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,80aff07c-f7a9-4d2a-9fc5-aeb3b71b124a
ES/SP_08187012_30_M,20,2013-01-08,2013-01-09,3.2,ug.m-3,day,1,1,2023-01-10 10:57:00,,80aff07c-f7a9-4d2a-9fc5-aeb3b71b124a
ES/SP_08187012_30_M,20,2013-01-09,2013-01-10,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,80aff07c-f7a9-4d2a-9fc5-aeb3b71b124a
ES/SP_08187012_30_M,20,2013-01-10,2013-01-11,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,80aff07c-f7a9-4d2a-9fc5-aeb3b71b124a
