Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
ES/SP_43123005_30_M,20,2013-01-01,2013-01-02,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-02,2013-01-03,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-03,2013-01-04,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-04,2013-01-05,2.3000000000000003,ug.m-3,day,1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-05,2013-01-06,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-06,2013-01-07,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-07,2013-01-08,2.4000000000000004,ug.m-3,day,1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-08,2013-01-09,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-09,2013-01-10,0.7400000000000001,ug.m-3,day,1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-10,2013-01-11,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-11,2013-01-12,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-12,2013-01-13,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-13,2013-01-14,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-14,2013-01-15,0.43000000000000005,ug.m-3,day,1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-15,2013-01-16,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-16,2013-01-17,0.5700000000000001,ug.m-3,day,1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-17,2013-01-18,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-18,2013-01-19,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-19,2013-01-20,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-20,2013-01-21,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-21,2013-01-22,0.62,ug.m-3,day,1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-22,2013-01-23,0.5700000000000001,ug.m-3,day,1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-23,2013-01-24,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-24,2013-01-25,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-25,2013-01-26,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-26,2013-01-27,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-27,2013-01-28,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-28,2013-01-29,0.81,ug.m-3,day,1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-29,2013-01-30,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-30,2013-01-31,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-01-31,2013-02-01,0.46,ug.m-3,day,1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-02-01,2013-02-02,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-02-02,2013-02-03,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
ES/SP_43123005_30_M,20,2013-02-03,2013-02-04,-999.0000000000001,ug.m-3,day,-1,1,2023-01-10 10:57:00,,f549d5bf-b4d2-415f-baad-9bfd56acdad7
