Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
ES/SP_41091015_30_I,20,2013-01-21 09:00:00,2013-01-27 09:00:00,1.3,ug.m-3,var,1,1,2016-12-16 14:12:00,,6cc69495-9d70-4f3f-9182-facbe24977fa
ES/SP_41091015_30_I,20,2013-02-18 09:00:00,2013-02-24 09:00:00,1.1,ug.m-3,var,1,1,2016-12-16 14:12:00,,6cc69495-9d70-4f3f-9182-facbe24977fa
ES/SP_41091015_30_I,20,2013-03-18 09:00:00,2013-03-24 09:00:00,1.1,ug.m-3,var,1,1,2016-12-16 14:12:00,,6cc69495-9d70-4f3f-9182-facbe24977fa
ES/SP_41091015_30_I,20,2013-05-13 09:00:00,2013-05-19 09:00:00,0.51,ug.m-3,var,1,1,2016-12-16 14:12:00,,6cc69495-9d70-4f3f-9182-facbe24977fa
ES/SP_41091015_30_I,20,2013-06-17 09:00:00,2013-06-29 09:00:00,0.39,ug.m-3,var,1,1,2016-12-16 14:12:00,,6cc69495-9d70-4f3f-9182-facbe24977fa
ES/SP_41091015_30_I,20,2013-07-08 09:00:00,2013-07-14 09:00:00,0.36000000000000004,ug.m-3,var,1,1,2016-12-16 14:12:00,,6cc69495-9d70-4f3f-9182-facbe24977fa
ES/SP_41091015_30_I,20,2013-09-16 09:00:00,2013-09-22 09:00:00,0.7400000000000001,ug.m-3,var,1,1,2016-12-16 14:12:00,,6cc69495-9d70-4f3f-9182-facbe24977fa
ES/SP_41091015_30_I,20,2013-11-18 09:00:00,2013-11-24 09:00:00,0.43000000000000005,ug.m-3,var,1,1,2016-12-16 14:12:00,,6cc69495-9d70-4f3f-9182-facbe24977fa
ES/SP_41091015_30_I,20,2014-02-10 09:00:00,2014-02-17 09:00:00,0.81,ug.m-3,var,1,1,2016-12-16 13:54:00,,c676e95b-4802-42ac-bfa5-e62d4e16c0c9
ES/SP_41091015_30_I,20,2014-03-10 09:00:00,2014-03-17 09:00:00,1.4000000000000001,ug.m-3,var,1,1,2016-12-16 13:54:00,,c676e95b-4802-42ac-bfa5-e62d4e16c0c9
ES/SP_41091015_30_I,20,2014-05-12 09:00:00,2014-05-19 09:00:00,0.6000000000000001,ug.m-3,var,1,1,2016-12-16 13:54:00,,c676e95b-4802-42ac-bfa5-e62d4e16c0c9
ES/SP_41091015_30_I,20,2014-06-23 09:00:00,2014-06-30 09:00:00,0.28,ug.m-3,var,1,1,2016-12-16 13:54:00,,c676e95b-4802-42ac-bfa5-e62d4e16c0c9
ES/SP_41091015_30_I,20,2014-08-18 09:00:00,2014-08-25 09:00:00,0.8300000000000001,ug.m-3,var,1,1,2016-12-16 13:54:00,,c676e95b-4802-42ac-bfa5-e62d4e16c0c9
ES/SP_41091015_30_I,20,2014-09-15 09:00:00,2014-09-22 09:00:00,0.93,ug.m-3,var,1,1,2016-12-16 13:54:00,,c676e95b-4802-42ac-bfa5-e62d4e16c0c9
ES/SP_41091015_30_I,20,2014-10-14 09:00:00,2014-10-21 09:00:00,0.9500000000000001,ug.m-3,var,1,1,2016-12-16 13:54:00,,c676e95b-4802-42ac-bfa5-e62d4e16c0c9
ES/SP_41091015_30_I,20,2014-12-15 09:00:00,2014-12-22 09:00:00,2.7,ug.m-3,var,1,1,2016-12-16 13:54:00,,c676e95b-4802-42ac-bfa5-e62d4e16c0c9
ES/SP_41091015_30_I,20,2015-01-12 09:00:00,2015-01-19 09:00:00,3.2,ug.m-3,var,1,1,2016-11-22 11:07:00,,f4876f4e-c3f9-4c15-979c-280c2144218f
ES/SP_41091015_30_I,20,2015-02-16 09:00:00,2015-02-23 09:00:00,1.8,ug.m-3,var,1,1,2016-11-22 11:07:00,,f4876f4e-c3f9-4c15-979c-280c2144218f
ES/SP_41091015_30_I,20,2015-04-13 09:00:00,2015-04-20 09:00:00,0.62,ug.m-3,var,1,1,2016-11-22 11:07:00,,f4876f4e-c3f9-4c15-979c-280c2144218f
ES/SP_41091015_30_I,20,2015-06-08 09:00:00,2015-06-15 09:00:00,0.098,ug.m-3,var,1,1,2016-11-22 11:07:00,,f4876f4e-c3f9-4c15-979c-280c2144218f
ES/SP_41091015_30_I,20,2015-07-20 09:00:00,2015-07-27 09:00:00,0.62,ug.m-3,var,1,1,2016-11-22 11:07:00,,f4876f4e-c3f9-4c15-979c-280c2144218f
ES/SP_41091015_30_I,20,2015-09-14 09:00:00,2015-09-21 09:00:00,0.51,ug.m-3,var,1,1,2016-11-22 11:07:00,,f4876f4e-c3f9-4c15-979c-280c2144218f
ES/SP_41091015_30_I,20,2015-10-19 09:00:00,2015-10-26 09:00:00,0.51,ug.m-3,var,1,1,2016-11-22 11:07:00,,f4876f4e-c3f9-4c15-979c-280c2144218f
ES/SP_41091015_30_I,20,2015-11-23 09:00:00,2015-11-30 09:00:00,1.5,ug.m-3,var,1,1,2016-11-22 11:07:00,,f4876f4e-c3f9-4c15-979c-280c2144218f
ES/SP_41091015_30_I,20,2016-01-18 09:00:00,2016-01-25 09:00:00,1.2000000000000002,ug.m-3,var,1,1,2017-07-20 11:51:00,,f3c0150a-b388-4368-87fc-020d780d5657
ES/SP_41091015_30_I,20,2016-02-15 09:00:00,2016-02-22 09:00:00,1.0,ug.m-3,var,1,1,2017-07-20 11:51:00,,f3c0150a-b388-4368-87fc-020d780d5657
ES/SP_41091015_30_I,20,2016-04-11 09:00:00,2016-04-18 09:00:00,0.5800000000000001,ug.m-3,var,1,1,2017-07-20 11:51:00,,f3c0150a-b388-4368-87fc-020d780d5657
ES/SP_41091015_30_I,20,2016-05-16 09:00:00,2016-05-23 09:00:00,0.23,ug.m-3,var,1,1,2017-07-20 11:51:00,,f3c0150a-b388-4368-87fc-020d780d5657
ES/SP_41091015_30_I,20,2016-07-11 09:00:00,2016-07-18 09:00:00,0.5800000000000001,ug.m-3,var,1,1,2017-07-20 11:51:00,,f3c0150a-b388-4368-87fc-020d780d5657
ES/SP_41091015_30_I,20,2016-09-12 09:00:00,2016-09-19 09:00:00,0.39,ug.m-3,var,1,1,2017-07-20 11:51:00,,f3c0150a-b388-4368-87fc-020d780d5657
ES/SP_41091015_30_I,20,2016-10-17 09:00:00,2016-10-24 09:00:00,0.31,ug.m-3,var,1,1,2017-07-20 11:51:00,,f3c0150a-b388-4368-87fc-020d780d5657
ES/SP_41091015_30_I,20,2016-11-14 09:00:00,2016-11-21 09:00:00,1.2000000000000002,ug.m-3,var,1,1,2017-07-20 11:51:00,,f3c0150a-b388-4368-87fc-020d780d5657
ES/SP_41091015_30_I,20,2017-02-20 09:00:00,2017-02-27 09:00:00,1.2000000000000002,ug.m-3,var,1,1,2018-08-30 15:45:00,,d10eef0e-834d-4077-993f-782284ae591d
ES/SP_41091015_30_I,20,2017-03-20 09:00:00,2017-03-27 09:00:00,0.5900000000000001,ug.m-3,var,1,1,2018-08-30 15:45:00,,d10eef0e-834d-4077-993f-782284ae591d
ES/SP_41091015_30_I,20,2017-04-24 09:00:00,2017-05-02 09:00:00,0.34,ug.m-3,var,1,1,2018-08-30 15:45:00,,d10eef0e-834d-4077-993f-782284ae591d
ES/SP_41091015_30_I,20,2017-06-07 09:00:00,2017-06-20 09:00:00,0.15000000000000002,ug.m-3,var,1,1,2018-08-30 15:45:00,,d10eef0e-834d-4077-993f-782284ae591d
ES/SP_41091015_30_I,20,2017-06-20 09:00:00,2017-07-04 09:00:00,0.05,ug.m-3,var,1,1,2018-08-30 15:45:00,,d10eef0e-834d-4077-993f-782284ae591d
ES/SP_41091015_30_I,20,2017-07-04 09:00:00,2017-07-17 09:00:00,0.19,ug.m-3,var,1,1,2018-08-30 15:45:00,,d10eef0e-834d-4077-993f-782284ae591d
ES/SP_41091015_30_I,20,2017-07-17 09:00:00,2017-08-01 09:00:00,0.18000000000000002,ug.m-3,var,1,1,2018-08-30 15:45:00,,d10eef0e-834d-4077-993f-782284ae591d
ES/SP_41091015_30_I,20,2017-08-01 09:00:00,2017-08-16 09:00:00,0.13,ug.m-3,var,1,1,2018-08-30 15:45:00,,d10eef0e-834d-4077-993f-782284ae591d
ES/SP_41091015_30_I,20,2017-08-16 09:00:00,2017-08-30 09:00:00,0.097,ug.m-3,var,1,1,2018-08-30 15:45:00,,d10eef0e-834d-4077-993f-782284ae591d
ES/SP_41091015_30_I,20,2017-10-16 09:00:00,2017-10-23 09:00:00,0.8200000000000001,ug.m-3,var,1,1,2018-08-30 15:45:00,,d10eef0e-834d-4077-993f-782284ae591d
ES/SP_41091015_30_I,20,2017-11-13 09:00:00,2017-11-20 09:00:00,1.6,ug.m-3,var,1,1,2018-08-30 15:45:00,,d10eef0e-834d-4077-993f-782284ae591d
ES/SP_41091015_30_I,20,2018-02-12 09:00:00,2018-02-19 09:00:00,1.5,ug.m-3,var,1,1,2019-07-19 12:44:00,,5472cfb1-da33-437e-a388-1fe216ab8d46
ES/SP_41091015_30_I,20,2018-03-12 09:00:00,2018-03-19 09:00:00,0.8500000000000001,ug.m-3,var,1,1,2019-07-19 12:44:00,,5472cfb1-da33-437e-a388-1fe216ab8d46
ES/SP_41091015_30_I,20,2018-05-14 09:00:00,2018-05-21 09:00:00,0.2,ug.m-3,var,1,1,2019-07-19 12:44:00,,5472cfb1-da33-437e-a388-1fe216ab8d46
