Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
ES/SP_13034002_30_I,20,2013-05-29 09:00:00,2013-06-06 09:00:00,0.44000000000000006,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-06-06 09:00:00,2013-06-14 09:00:00,0.26,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-06-14 09:00:00,2013-06-20 09:00:00,0.32,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-06-21 09:00:00,2013-06-27 09:00:00,0.39,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-06-28 09:00:00,2013-07-04 09:00:00,0.38,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-07-04 09:00:00,2013-07-10 09:00:00,0.38,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-07-11 09:00:00,2013-07-19 09:00:00,0.43000000000000005,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-08-05 09:00:00,2013-08-11 09:00:00,0.37000000000000005,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-08-12 09:00:00,2013-08-28 09:00:00,0.46,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-08-28 09:00:00,2013-09-03 09:00:00,0.52,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-09-03 09:00:00,2013-09-13 09:00:00,0.7400000000000001,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-09-13 09:00:00,2013-09-24 09:00:00,0.5700000000000001,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-09-24 09:00:00,2013-10-04 09:00:00,0.44000000000000006,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-10-04 09:00:00,2013-10-14 09:00:00,0.29000000000000004,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-10-14 09:00:00,2013-10-23 09:00:00,0.28,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-10-23 09:00:00,2013-11-08 09:00:00,1.1,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-11-08 09:00:00,2013-11-14 09:00:00,1.7000000000000002,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-11-14 09:00:00,2013-11-20 09:00:00,1.9000000000000001,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-11-21 09:00:00,2013-12-05 09:00:00,3.2,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-12-05 09:00:00,2013-12-17 09:00:00,5.800000000000001,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2013-12-17 09:00:00,2013-12-27 09:00:00,1.7000000000000002,ug.m-3,var,1,1,2016-12-16 14:12:00,,c0c6981e-c56f-4a14-afd5-41c966bc6e10
ES/SP_13034002_30_I,20,2014-01-09 09:00:00,2014-01-15 09:00:00,2.9365,ug.m-3,var,1,1,2016-12-16 13:54:00,,1cf66352-536e-4dda-8aa9-9885421ae1b7
ES/SP_13034002_30_I,20,2014-01-15 09:00:00,2014-01-21 09:00:00,4.6459,ug.m-3,var,1,1,2016-12-16 13:54:00,,1cf66352-536e-4dda-8aa9-9885421ae1b7
ES/SP_13034002_30_I,20,2014-01-23 09:00:00,2014-01-29 09:00:00,1.7075,ug.m-3,var,1,1,2016-12-16 13:54:00,,1cf66352-536e-4dda-8aa9-9885421ae1b7
ES/SP_13034002_30_I,20,2014-01-30 09:00:00,2014-02-05 09:00:00,1.7696,ug.m-3,var,1,1,2016-12-16 13:54:00,,1cf66352-536e-4dda-8aa9-9885421ae1b7
ES/SP_13034002_30_I,20,2014-02-06 09:00:00,2014-02-12 09:00:00,1.8490000000000002,ug.m-3,var,1,1,2016-12-16 13:54:00,,1cf66352-536e-4dda-8aa9-9885421ae1b7
ES/SP_13034002_30_I,20,2014-02-17 09:00:00,2014-02-23 09:00:00,1.3448,ug.m-3,var,1,1,2016-12-16 13:54:00,,1cf66352-536e-4dda-8aa9-9885421ae1b7
ES/SP_13034002_30_I,20,2014-02-26 09:00:00,2014-03-04 09:00:00,2.3248,ug.m-3,var,1,1,2016-12-16 13:54:00,,1cf66352-536e-4dda-8aa9-9885421ae1b7
ES/SP_13034002_30_I,20,2014-03-13 09:00:00,2014-03-19 09:00:00,1.8866,ug.m-3,var,1,1,2016-12-16 13:54:00,,1cf66352-536e-4dda-8aa9-9885421ae1b7
ES/SP_13034002_30_I,20,2014-04-03 09:00:00,2014-04-09 09:00:00,0.5119,ug.m-3,var,1,1,2016-12-16 13:54:00,,1cf66352-536e-4dda-8aa9-9885421ae1b7
