Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
ES/SP_14021006_30_I,20,2013-01-01 09:00:00,2013-01-31 09:00:00,0.77,ug.m-3,var,1,1,2016-12-16 14:12:00,,03dc6ef2-b725-4933-afe9-26b4c0e79522
ES/SP_14021006_30_I,20,2013-02-01 09:00:00,2013-02-28 09:00:00,1.1,ug.m-3,var,1,1,2016-12-16 14:12:00,,03dc6ef2-b725-4933-afe9-26b4c0e79522
ES/SP_14021006_30_I,20,2013-03-01 09:00:00,2013-03-31 09:00:00,0.53,ug.m-3,var,1,1,2016-12-16 14:12:00,,03dc6ef2-b725-4933-afe9-26b4c0e79522
ES/SP_14021006_30_I,20,2013-04-01 09:00:00,2013-04-30 09:00:00,0.48000000000000004,ug.m-3,var,1,1,2016-12-16 14:12:00,,03dc6ef2-b725-4933-afe9-26b4c0e79522
ES/SP_14021006_30_I,20,2013-05-01 09:00:00,2013-05-31 09:00:00,0.16,ug.m-3,var,1,1,2016-12-16 14:12:00,,03dc6ef2-b725-4933-afe9-26b4c0e79522
ES/SP_14021006_30_I,20,2013-06-01 09:00:00,2013-06-30 09:00:00,0.13,ug.m-3,var,1,1,2016-12-16 14:12:00,,03dc6ef2-b725-4933-afe9-26b4c0e79522
ES/SP_14021006_30_I,20,2013-07-01 09:00:00,2013-07-31 09:00:00,0.68,ug.m-3,var,1,1,2016-12-16 14:12:00,,03dc6ef2-b725-4933-afe9-26b4c0e79522
ES/SP_14021006_30_I,20,2013-08-01 09:00:00,2013-08-31 09:00:00,0.36000000000000004,ug.m-3,var,1,1,2016-12-16 14:12:00,,03dc6ef2-b725-4933-afe9-26b4c0e79522
ES/SP_14021006_30_I,20,2013-09-01 09:00:00,2013-09-30 09:00:00,0.16,ug.m-3,var,1,1,2016-12-16 14:12:00,,03dc6ef2-b725-4933-afe9-26b4c0e79522
ES/SP_14021006_30_I,20,2013-10-01 09:00:00,2013-10-31 09:00:00,0.32,ug.m-3,var,1,1,2016-12-16 14:12:00,,03dc6ef2-b725-4933-afe9-26b4c0e79522
ES/SP_14021006_30_I,20,2013-11-01 09:00:00,2013-11-30 09:00:00,0.7400000000000001,ug.m-3,var,1,1,2016-12-16 14:12:00,,03dc6ef2-b725-4933-afe9-26b4c0e79522
