Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
ES/SP_11012002_30_I,20,2013-01-01 09:00:00,2013-01-31 09:00:00,0.66,ug.m-3,var,1,1,2016-12-16 14:12:00,,17e1157e-bedc-465b-8c03-55e3026cc2d8
ES/SP_11012002_30_I,20,2013-02-01 09:00:00,2013-02-28 09:00:00,0.75,ug.m-3,var,1,1,2016-12-16 14:12:00,,17e1157e-bedc-465b-8c03-55e3026cc2d8
ES/SP_11012002_30_I,20,2013-03-01 09:00:00,2013-03-31 09:00:00,0.56,ug.m-3,var,1,1,2016-12-16 14:12:00,,17e1157e-bedc-465b-8c03-55e3026cc2d8
ES/SP_11012002_30_I,20,2013-04-01 09:00:00,2013-04-30 09:00:00,0.46,ug.m-3,var,1,1,2016-12-16 14:12:00,,17e1157e-bedc-465b-8c03-55e3026cc2d8
ES/SP_11012002_30_I,20,2013-05-01 09:00:00,2013-05-31 09:00:00,0.13,ug.m-3,var,1,1,2016-12-16 14:12:00,,17e1157e-bedc-465b-8c03-55e3026cc2d8
ES/SP_11012002_30_I,20,2013-06-01 09:00:00,2013-06-30 09:00:00,1.8,ug.m-3,var,1,1,2016-12-16 14:12:00,,17e1157e-bedc-465b-8c03-55e3026cc2d8
ES/SP_11012002_30_I,20,2013-07-01 09:00:00,2013-07-31 09:00:00,0.5,ug.m-3,var,1,1,2016-12-16 14:12:00,,17e1157e-bedc-465b-8c03-55e3026cc2d8
ES/SP_11012002_30_I,20,2013-08-01 09:00:00,2013-08-31 09:00:00,0.45,ug.m-3,var,1,1,2016-12-16 14:12:00,,17e1157e-bedc-465b-8c03-55e3026cc2d8
ES/SP_11012002_30_I,20,2013-09-01 09:00:00,2013-09-30 09:00:00,0.16,ug.m-3,var,1,1,2016-12-16 14:12:00,,17e1157e-bedc-465b-8c03-55e3026cc2d8
ES/SP_11012002_30_I,20,2013-11-01 09:00:00,2013-11-30 09:00:00,0.6900000000000001,ug.m-3,var,1,1,2016-12-16 14:12:00,,17e1157e-bedc-465b-8c03-55e3026cc2d8
